TRADING CODE,TRADING CODE url,LTP*,HIGH,LOW,CLOSEP*,YCP*,CHANGE,TRADE,VALUE (mn),VOLUME
https://www.dsebd.org/displayCompany.php?name=MIDASFIN,MIDASFIN,10,10.1,10,10,10,0,31,0.534,"53,257"
https://www.dsebd.org/displayCompany.php?name=ZAHEENSPIN,ZAHEENSPIN,9.9,9.9,9.9,9.9,9.9,0,1,0.001,150
https://www.dsebd.org/displayCompany.php?name=KBPPWBIL,KBPPWBIL,9.9,9.9,9.9,9.9,9.9,0,13,0.137,"13,791"
https://www.dsebd.org/displayCompany.php?name=ABBANK,ABBANK,9.9,9.9,9.9,9.9,9.9,0,1,0.001,85
https://www.dsebd.org/displayCompany.php?name=PF1STMF,PF1STMF,9.9,9.9,9.9,9.9,9.9,0,2,0.002,201
https://www.dsebd.org/displayCompany.php?name=CAPMBDBLMF,CAPMBDBLMF,9.9,9.9,9.9,9.9,9.9,0,3,0.109,"11,000"
https://www.dsebd.org/displayCompany.php?name=PDL,PDL,9.9,9.9,9.9,9.9,9.9,0,3,0.004,422
https://www.dsebd.org/displayCompany.php?name=FIRSTSBANK,FIRSTSBANK,9.8,9.8,9.8,9.8,9.8,0,4,0.002,201
https://www.dsebd.org/displayCompany.php?name=RINGSHINE,RINGSHINE,9.8,9.8,9.8,9.8,9.8,0,1,0,1
https://www.dsebd.org/displayCompany.php?name=ETL,ETL,9.4,9.4,9.4,9.4,9.4,0,4,0.799,"85,000"
https://www.dsebd.org/displayCompany.php?name=UNIONBANK,UNIONBANK,9.3,9.3,9.3,9.3,9.3,0,15,0.018,"1,972"
https://www.dsebd.org/displayCompany.php?name=SEMLLECMF,SEMLLECMF,9.1,9.1,9.1,9.1,9.1,0,1,0.001,75
https://www.dsebd.org/displayCompany.php?name=GIB,GIB,9,9,9,9,9,0,3,0.01,"1,124"
https://www.dsebd.org/displayCompany.php?name=GLDNJMF,GLDNJMF,9,9,9,9,9,0,1,0,6
https://www.dsebd.org/displayCompany.php?name=STANDBANKL,STANDBANKL,8.8,8.8,8.8,8.8,8.8,0,1,0.013,"1,500"
https://www.dsebd.org/displayCompany.php?name=SEMLFBSLGF,SEMLFBSLGF,8.4,8.4,8.4,8.4,8.4,0,1,0.002,235
https://www.dsebd.org/displayCompany.php?name=NBL,NBL,8.3,8.3,8.3,8.3,8.3,0,64,5.821,"701,372"
https://www.dsebd.org/displayCompany.php?name=APOLOISPAT,APOLOISPAT,8.2,8.2,8.2,8.2,8.2,0,2,0,14
https://www.dsebd.org/displayCompany.php?name=UNIONCAP,UNIONCAP,8.1,8.3,7.7,8.1,8.1,0,270,4.09,"508,896"
https://www.dsebd.org/displayCompany.php?name=EBL1STMF,EBL1STMF,7.4,7.4,7.4,7.4,7.4,0,3,0.037,"5,005"
https://www.dsebd.org/displayCompany.php?name=AIBL1STIMF,AIBL1STIMF,7.3,7.4,7.3,7.3,7.3,0,24,0.299,"40,780"
https://www.dsebd.org/displayCompany.php?name=NURANI,NURANI,7,7,7,7,7,0,1,0,1
https://www.dsebd.org/displayCompany.php?name=GREENDELMF,GREENDELMF,6.9,6.9,6.9,6.9,6.9,0,2,0.01,"1,452"
